# Listed companies matched to week 4 clients and filing firms by exact normalized name; SIC from the SEC submissions API, NAICS sector by week04_sec.sector_of_sic().
key,cik,ticker,sec_name,sic,sic_description,naics2,filings
Amazon,0001018724,AMZN,AMAZON COM INC,5961,Retail-Catalog & Mail-Order Houses,44-45,104923
Cognizant,0001058290,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,7371,Services-Computer Programming Services,54,54688
Microsoft,0000789019,MSFT,MICROSOFT CORP,7372,Services-Prepackaged Software,51,44164
Infosys,0001067491,INFY,Infosys Ltd,7371,Services-Computer Programming Services,54,31866
Apple,0000320193,AAPL,Apple Inc.,3571,Electronic Computers,31-33,28815
Meta,0001326801,META,"Meta Platforms, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",54,28351
JPMorgan Chase,0000019617,JPM,JPMORGAN CHASE & CO,6021,National Commercial Banks,52,20915
Walmart,0000104169,WMT,Walmart Inc.,5331,Retail-Variety Stores,44-45,18824
Intel,0000050863,INTC,INTEL CORP,3674,Semiconductors & Related Devices,31-33,17316
Citigroup,0000831001,C,CITIGROUP INC,6021,National Commercial Banks,52,16338
Accenture,0001467373,ACN,Accenture plc,7389,"Services-Business Services, NEC",56,14289
Goldman Sachs,0000886982,GS,GOLDMAN SACHS GROUP INC,6211,"Security Brokers, Dealers & Flotation Companies",52,12265
Wipro,0001123799,WIT,WIPRO LTD,7371,Services-Computer Programming Services,54,11203
Qualcomm,0000804328,QCOM,QUALCOMM INC/DE,3663,Radio & Tv Broadcasting & Communications Equipment,31-33,10850
Bank of America,0000070858,BAC,BANK OF AMERICA CORP /DE/,6021,National Commercial Banks,52,9956
FEIN 912197729,0001318605,TSLA,"Tesla, Inc.",3711,Motor Vehicles & Passenger Car Bodies,31-33,9892
Cisco,0000858877,CSCO,"CISCO SYSTEMS, INC.",3576,Computer Communications Equipment,31-33,9806
Capital One,0000927628,COF,CAPITAL ONE FINANCIAL CORP,6021,National Commercial Banks,52,9625
Wells Fargo,0000072971,WFC,WELLS FARGO & COMPANY/MN,6021,National Commercial Banks,52,8899
Salesforce,0001108524,CRM,"Salesforce, Inc.",7372,Services-Prepackaged Software,51,8848
American Express,0000004962,AXP,AMERICAN EXPRESS CO,6199,Finance Services,52,8675
Verizon,0000732712,VZ,VERIZON COMMUNICATIONS INC,4813,Telephone Communications (No Radiotelephone),51,8611
AT&T,0000732717,T,AT&T INC.,4813,Telephone Communications (No Radiotelephone),51,7644
Nvidia,0001045810,NVDA,NVIDIA CORP,3674,Semiconductors & Related Devices,31-33,7555
Ford,0000037996,F,FORD MOTOR CO,3711,Motor Vehicles & Passenger Car Bodies,31-33,7226
Morgan Stanley,0000895421,MS,MORGAN STANLEY,6211,"Security Brokers, Dealers & Flotation Companies",52,7067
Elevance Health,0001156039,ELV,"Elevance Health, Inc.",6324,Hospital & Medical Service Plans,52,5818
CVS Health,0000064803,CVS,CVS HEALTH Corp,5912,Retail-Drug Stores and Proprietary Stores,44-45,5689
T-Mobile,0001283699,TMUS,"T-Mobile US, Inc.",4812,Radiotelephone Communications,51,5599
Adobe,0000796343,ADBE,ADOBE INC.,7372,Services-Prepackaged Software,51,5202
Charter Communications,0001091667,CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",4841,Cable & Other Pay Television Services,51,5169
Cummins,0000026172,CMI,CUMMINS INC,3510,Engines & Turbines,31-33,4847
PayPal,0001633917,PYPL,"PayPal Holdings, Inc.",7389,"Services-Business Services, NEC",56,4698
FedEx,0001048911,FDX,FEDEX CORP,4513,Air Courier Services,48-49,4282
General Motors,0001467858,GM,General Motors Co,3711,Motor Vehicles & Passenger Car Bodies,31-33,4152
FEIN 202056195,0001373715,NOW,"ServiceNow, Inc.",7372,Services-Prepackaged Software,51,4102
Fiserv,0000798354,FISV,FISERV INC,7389,"Services-Business Services, NEC",56,4046
Intuit,0000896878,INTU,INTUIT INC.,7372,Services-Prepackaged Software,51,3939
FEIN 452647441,0001543151,UBER,"Uber Technologies, Inc",7389,"Services-Business Services, NEC",56,3919
Barclays,0000312069,BCS,BARCLAYS PLC,6029,"Commercial Banks, NEC",52,3795
Mastercard,0001141391,MA,Mastercard Inc,7389,"Services-Business Services, NEC",56,3752
