# World Bank open data, one row per country. The year each indicator came from is in the column name.
iso3	name	population_2024	net_migration_2024	migrant_stock_2024	migrant_stock_pct_2024	remittances_received_usd_2024	remittances_sent_usd_2024	remittances_received_pct_gdp_2024	gdp_per_capita_usd_2024	gdp_growth_pct_2024	urban_population_pct_2024	unemployment_pct_2024
ABW	Aruba	107995	141	73494	68				38590.5650288641	6.81077669324554	61.7909396819594	
AFG	Afghanistan	42647492	-44089	98110	0.2				416.871146273728	1.87319280045979	25.7007352636188	13.687
AGO	Angola	37885849	-2629	676507	1.8	51039356.3395039	419534481.945559	0.0495140569771656	2720.81900669715	4.95267860425956	70.6551379036435	14.02
AIA	Anguilla											
ALA	Åland Islands											
ALB	Albania	2377128	-24472	46377	1.7	2274440593.60033	205314880.622839	8.41217848772137	11374.0085781236	4.04592845095348	58.5463634043555	10.689
AND	Andorra	81938	988	48408	59.1	52335881.1937914	140043306.143719	1.29408135877458	49357.437070178	3.8491605039052	88.8850044816278	
ARE	United Arab Emirates	10986400	278439	8157000	74	1797140912.18516	58461538461.5384	0.325377481632911	50273.5126243239	3.99181200361831	85.8171088279791	2.16
ARG	Argentina	45696159	3454	1958039	4.3	1044365105.03816	569566511.902988	0.163599877828893	13969.7836603737	-1.34293072157739	92.2742315972952	7.15
ARM	Armenia	3033500	-29966	274645	9.2	1278216269.14741	595500108.922664	4.92468775781423	8556.21406956719	5.90000000046228	65.8113671449901	12.405
ASM	American Samoa	46765	-1110	23684	50.6						80.9446986961818	
ATA	Antarctica											
ATF	French Southern Territories											
ATG	Antigua and Barbuda	93772	9	30473	32.5	26196804.074074	42946906.2962962	1.21148760189024	23059.8330702839	2.54044193946544	24.3906919254799	
AUS	Australia	27194286	138510	8111404	30.4	1770711533.77041	16079465512.7137	0.100779106840934	64609.9865116088	1.37340773365975	87.6021469990446	3.942
AUT	Austria	9177982	8813	2327064	25.5	3482501340.47625	9677952357.9908	0.651189560177177	58268.8787651601	-0.659089573171372	69.4658181096788	5.2
AZE	Azerbaijan	10202830	10864	218460	2.1	1351678000	663698000	1.81613683390213	7294.64276088105	4.15806800428062	58.573795837717	5.648
BDI	Burundi	14047786	-27074	387101	2.8	236886516.426757	16189395.1132089	7.79852802134993	216.231928531758	4.11227376394912	24.8302838651025	0.915
BEL	Belgium	11858610	36243	2349032	20	15480994451.5335	10113206949.5673	2.30721068013377	56581.9375642531	1.09775383828703	87.6126557010527	5.7
BEN	Benin	14462724	-7725	418202	2.9				1485.38018885134	7.45311566226201	52.5455354818423	1.637
BES	Bonaire, Sint Eustatius and Saba											
BFA	Burkina Faso	23548781	-25807	739820	3.1	595244650.149578	203035173.411703	2.57274984525714	982.493100418428	4.83395810163883	28.3352514896662	3.441
BGD	Bangladesh	173562364	-473362	2906338	1.7	27524564108.9817	165689379.080449	6.11494686698428	2593.41611680774	4.22325911250161	32.6783196323307	3.635
BGR	Bulgaria	6441421	524	299100	4.4	2642960000	422870000	2.33169813750511	17596.9167621233	3.38708962009333	73.9499356882481	4.2
BHR	Bahrain	1588670	22699	840202	52.3		2659574468.0851		29717.1424605273	2.89710543153512	100	1.084
BHS	Bahamas	401283	1018	67285	16.8	65929000	320921378.619999	0.416407710575514	39455.4466548546	3.37866553336166	81.3249262966481	9.049
BIH	Bosnia and Herzegovina	3164253	-4497	34120	1.1	3124315487.86079	166192585.049836	10.5063635838661	9397.90942855997	3.22679979810856	52.1224302754935	10.69
BLM	Saint Barthélemy											
BLR	Belarus	9132629	-3119	1054604	11.6	1842368153.45	227486364.56	2.34422322962077	8605.60954569694	4.34999638140579	79.1551015210848	3.458
BLZ	Belize	417072	490	68706	16.5	121541290.395516	47224551.072625	3.79385953140795	7681.24400583113	3.50466435023895	41.7532107338224	8.698
BMU	Bermuda	64636	-5	20171	31.2				142250.433195123	1.88822861970388	100	
BOL	Bolivia, Plurinational State of	12413315	-3000	183234	1.5	1279661295.86324	245822433.535511	2.33168794424645	4421.16609889999	-1.12335595517212	71.2361453773988	3.274
BRA	Brazil	211998573	-225510	1406299	0.7	4902400448.25	2090043729.72	0.224281818071329	10310.5486973693	3.41931516501906	87.8958549533146	6.801
BRB	Barbados	282467	-70	35187	12.5				26897.2002039176	3.3669492581395	59.5397032429174	6.448
BRN	Brunei Darussalam	462721	0	119933	25.9				33153.4738913513	4.05251709306727	74.8983133873697	5.18
BTN	Bhutan	791524	-277	55705	7	109604204.233408	74536653.4971936	3.27508748747941	4228.05102403654	7.49856206754038	42.5645249803412	3.282
BVT	Bouvet Island											
BWA	Botswana	2521139	-5778	116402	4.6	128298940.687971	117708428.952333	0.665235250950978	7649.81663744354	-2.77988981666252	67.4623537838418	23.81
CAF	Central African Republic	5330690	-15357	94556	1.8				516.160999996036	1.49999999847535	44.1243555638904	6.253
CAN	Canada	41262329	368599	8805839	22.2	851437898.472405	15226924063.3362	0.0375070185900294	55015.7066917734	2.04626605401701	82.7002565766633	6.351
CCK	Cocos (Keeling) Islands											
CHE	Switzerland	9005582	40099	2773840	31.1	3635806741.16748	40110118771.9646	0.374856435776147	107702.065940312	1.39033363875791	85.4615370020764	4.343
CHL	Chile	19764771	58316	1538324	7.8	100334643.8	692065591.500001	0.0304727117459801	16658.9652720351	2.80512637106611	88.9950908479196	8.718
CHN	China	1408975000	-318992	1638718	0.1	24980610479.96	15073924515.58	0.133374547261861	13293.1162269366	4.95830378788091	65.8946980998325	4.59
CIV	Côte d'Ivoire	31934230	7838	2880839	9	1770769896.68065	2047156966.32698	2.03272330773983	2727.8935220697	6.0195346193922	53.9733113940142	2.273
CMR	Cameroon	29123744	-13892	642948	2.2	690153000.670355	101289174.997134	1.29492646677846	1830.00833684727	3.52472308052245	55.4031748609078	3.603
COD	Congo, Democratic Republic of the	109276265	-26968	1085090	1	2000736160.66299	1273112289.76755	2.64241574731216	692.887665085098	6.1025294442863	44.7455804408753	4.421
COG	Congo	6332961	-2491	385589	6.1				2482.2489948456	2.09998918002519	63.8866111699904	19.895
COK	Cook Islands											
COL	Colombia	52886363	141643	3063518	5.8	11873232976.2659	406846513.508784	2.82357172356115	7951.08624019412	1.49330728771066	78.5210811866115	9.619
COM	Comoros	866628	-2051	12449	1.4				1857.87060684189	3.30071498500033	33.5392215673301	3.815
CPV	Cabo Verde	524877	-1209	16515	3.1	333992294.9407	32428364.4290558	12.3075360148272	5170.20531932535	6.98888280991075	76.7721471004354	11.883
CRI	Costa Rica	5129910	967	628404	12.2	724796054.747405	629372103.94621	0.749409322311289	18853.2828705886	4.08292444182048	79.3107672397967	6.936
CUB	Cuba	10979783	-22356	2144	0					-1.06173273220524	77.1664929228275	1.755
CUW	Curaçao	155967	513	80020	43.1				22832.895498987	5.02690015475606	91.4321812441765	
CXR	Christmas Island											
CYM	Cayman Islands	74457	896	31935	42.9	11496340.1442895	604865970.945303	0.148046902235068	104292.900672109	3.75641197192778	100	
CYP	Cyprus	1358282	8138	202062	14.9	677030115.726493	1301183062.9188	1.79895889009484	38674.3125	3.94076934447787	66.6824259192483	4.9
CZE	Czechia	10905028	-86169	1025199	9.5	4553160817.88038	5110279841.77863	1.31183796406812	31827.7552539413	1.25131096245923	72.7947984592185	2.6
DEU	Germany	83516593	36954	16750084	19.8	22168068237.9153	24679562289.4125	0.473111305983449	56103.7323182554	-0.495851897260366	82.0211432579125	3.4
DJI	Djibouti	1168722	-11	125996	10.8	55997202.1910131	974595.326382363	1.3486328033841	3552.72335079222	6.98048467276334	72.9052635052978	26.007
DMA	Dominica	66205	-200	8440	12.7	39048216.6666667	10057321.4814815	5.66835046613405	10405.2787777582	2.052738472526	73.5449839980866	
DNK	Denmark	5976992	25639	847475	14.2	1519481607.32724	4846027608.56608	0.357925352388462	71026.4832271897	3.47783593140312	88.6960552688405	5.358
DOM	Dominican Republic	11427557	-34806	738667	6.5	11350000000	1172500000	9.13243878213105	10875.6618443092	4.95352204492849	72.4121874752151	5.312
DZA	Algeria	46814308	-31240	259458	0.6	1798916386.41109	143040780.994066	0.667941907847866	5752.99076651465	3.69999999907979	75.2792907190618	11.655
ECU	Ecuador	18135478	-19704	747749	4.1	6544355900.6287	633389383.180974	5.28613118568203	6826.5294137822	-1.94409022506859	63.2376932397602	3.453
EGY	Egypt	116538258	123884	1139820	1	29559100000	340600000	7.59757024437157	3338.47371043679	2.3991692678251	42.8004363938404	6.817
ERI	Eritrea	3535603	-12696	12512	0.4						34.5365524291992	5.947
ESH	Western Sahara											
ESP	Spain	48848840	111674	8870527	18.5	6328874671.4828	588213669.354267	0.366748486679136	35326.7683069278	3.45525405630191	80.315199821207	11.4
EST	Estonia	1372341	-7742	203046	14.9	496264001.176001	264609460.924121	1.15061249841648	31428.3547816104	-0.0900428648493801	70.6981161541961	7.6
ETH	Ethiopia	132059767	30069	1168455	0.9	7137687012.83626	69266825.7046881	4.766710838993	1133.88279681256	7.61277447616879	23.6222839355469	3.357
FIN	Finland	5619911	26894	514432	9.2	809520702.976206	1573915937.08517	0.270987928985696	53155.5451165897	0.374566568538427	74.2637190463636	8.4
FJI	Fiji	928784	-3278	14362	1.5	424193534.35971	13134508.2714971	7.10765055577566	6425.74151715712	3.53085896076352	59.0766602292457	5.361
FLK	Falkland Islands (Malvinas)											
FRA	France	68551653	90527	9186757	13.8	38775361344.0285	19687372015.7165	1.22689654507268	46103.0840855884	1.19046798275883	78.7999750964116	7.4
FRO	Faroe Islands	54640	488	8101	14.6				74175.2776311377	0.843716851362103	39.4132325882965	
FSM	Micronesia, Federated States of	113160	-1104	2894	2.6				4251.69052668788	2.30132923576443	22.4562830235421	
GAB	Gabon	2538952	1105	449746	17.7				8230.04311451151	3.39403899521831	91.8632094677575	20.091
GBR	United Kingdom of Great Britain and Northern Ireland	69281000	417114	11845479	17.1	4834332874.14733	12271093645.5614	0.130815347974026	53341.3131094262	1.08027716858781	83.2429544416085	4.361
GEO	Georgia	3812518	1745	81582	2.1	4058448979.28	312756323.01	11.8704809371441	8967.67525638987	9.67979379712661	61.0789605093733	11.557
GGY	Guernsey											
GHA	Ghana	34427414	-13114	532286	1.5	3027416789.17939	751038880.605219	3.63485196347604	2419.2518672482	5.84746854280382	58.3654868038581	2.82
GIB	Gibraltar	39329	598	11291	28.7						100	
GIN	Guinea	14754785	-12024	117416	0.8	616420000	224970000	2.46482438123289	1694.95375862185	5.35004659049265	38.0713036688655	5.132
GLP	Guadeloupe											
GMB	Gambia	2759988	-2989	236137	8.6	529052514.703634	9775889.96815618	21.9990433005617	871.340287547821	5.55126065805138	64.2994103409645	6.48
GNB	Guinea-Bissau	2201352	-1712	15064	0.7	217179322.597168	84677703.0142848	9.88177152873842	998.376093392688	4.40920107183611	46.113204421822	2.647
GNQ	Equatorial Guinea	1892516	3891	248930	13.2				7003.58055684906	0.39622552095193	71.3574028749806	8.293
GRC	Greece	10405134	-122772	1423964	14.2	561447512.229397	3166102429.52203	0.219111411118225	24626.1481858973	2.0865743380603	78.9967856500534	10.02
GRD	Grenada	117207	-192	7340	6.3	48041590.7407407	51846078.1481481	3.55529076890607	11528.9220811928	2.3996478454327	36.5628000454229	
GRL	Greenland	56836	-284	5812	10.4						88.3195347935238	
GTM	Guatemala	18406359	-7725	92732	0.5	21644521520	34242900	19.1179716140238	6150.89465281457	3.71558453779777	55.9547027274763	2.613
GUF	French Guiana											
GUM	Guam	167777	-504	84159	50.2						94.1726346571831	5.252
GUY	Guyana	831087	-5407	54175	6.5				29675.2501582835	43.8192726391966	26.477717988557	11.874
HKG	Hong Kong	7524100	-19272	3063318	41.3	457568834.395107	1087260113.57128	0.112047973828129	54274.7547767073	2.62936861207362	100	2.988
HMD	Heard Island and McDonald Islands											
HND	Honduras	10825703	-4821	39901	0.4	9520098227.58392	346096592.959151	25.743791487013	3415.96027916712	3.63240745450875	58.7850728104829	4.91
HRV	Croatia	3866200	-5186	527831	13.6	6704606429.83418	1966100773.46685	7.21065804243838	24049.9441746337	3.82578440126859	57.5158981711443	5
HTI	Haiti	11772557	-31747	19581	0.2	4111002565.94729	770001370.612673	16.9486338151218	2060.35591768638	-4.18495104762965	55.0372652481002	14.609
HUN	Hungary	9562065	16223	689565	7.1	5555297068.21262	1188462700.44039	2.49286141559194	23305.4482514359	0.709070599066038	70.491825943218	4.5
IDN	Indonesia	283487931	-38469	445726	0.2	16038366972.4451	11128256369.4001	1.14863184341507	4925.43644992666	5.03257477088519	58.7509635387997	3.301
IMN	Isle of Man	84160	177	43693	51.9						52.1633405796294	
IND	India	1450935791	-630830	4796255	0.3	137674533895.686	12072300699.6765	3.66076475144487	2591.9916607122	7.09927893176518	35.3788972368389	4.173
IOT	British Indian Ocean Territory											
IRL	Ireland	5395790	39059	1216237	23.1	656414520.544746	2689699999.58518	0.107757774289943	112894.953240805	2.59946721553708	64.3470379255585	4.3
IRN	Iran, Islamic Republic of	91567738	190156	3840654	4.2				5190.16959024821	3.66312057949303	77.0201263427734	8.146
IRQ	Iraq	46042015	-17735	370980	0.8	696300000	735700000	0.248997592822188	6073.61032342708	-1.54525198319173	69.8861494108913	15.293
ISL	Iceland	386506	3543	98818	25.1	246061466.357935	644164466.739506	0.741447766009432	85863.1479330343	-1.2828764442695	94.1819039916522	3.6
ISR	Israel	10002200	10612	2091569	22.3	952300000	1373100000	0.175608930307742	54216.5218142787	0.953618469238535	91.536188843818	3.595
ITA	Italy	58952704	95246	6553671	11	12142048872.1323	12592143894.5529	0.509434744676284	40429.6224047352	0.783039135276795	69.6047535143071	6.5
JAM	Jamaica	2839175	-10506	24007	0.8	3564377716.20868	312990456.269025	16.1910977021085	7753.8119527678	-0.535039063867487	58.9301585439922	3.151
JEY	Jersey											
JOR	Jordan	11552876	-156369	5280168	45.7	4431126760.56337	576901408.450704	7.55927870742229	5073.92103605892	2.55605891810194	92.9501393764286	16.693
JPN	Japan	123975371	153357	3409529	2.8	4645434225.75653	6074439397.88056	0.110869335259614	33797.1014287876	-0.240084236041696	92.1901718034531	2.5
KAZ	Kazakhstan	20592571	-7368	2089797	10.1	240778837.67322	2695526549.73589	0.08260553410117	14154.6324958076	4.99999999996936	62.072531584162	4.833
KEN	Kenya	56432944	-19781	992536	1.8	4999830478.63973	4935594.89348175	4.15276804487158	2133.46193404026	4.66019594571891	31.8937831721599	5.487
KGZ	Kyrgyzstan	7221868	3645	194816	2.7	3197217915.01987	460030410.26772	17.6042447290407	2514.81066933171	11.5397119406559	34.7219977865937	3.491
KHM	Cambodia	17638801	-32960	83925	0.5	2827917512.10208	375772691.401231	6.10087598628419	2627.87969756224	6.0158145735202	40.8727033252729	0.254
KIR	Kiribati	134518	-471	3302	2.5	14658387.5745883	1055952.750302	4.27167401504865	2550.98377226188	4.69613259668509	62.4620431275642	
KNA	Saint Kitts and Nevis	46843	-7	7958	17	38737904.4444443	27690991.8518518	3.45137989407512	23960.6534357084	0.312226855858171	31.795061903951	
KOR	Korea, Republic of	51751065	75963	1811507	3.5	7283000000	14332800000	0.388346261508366	36238.639908315	2.00361101838986	81.1682528469686	2.784
KWT	Kuwait	4897263	61624	3323191	67.3	20390349.9606808	14168984683.1728	0.0126724401949546	32855.7209688827	-1.47401818168846	100	2.151
LAO	Lao People's Democratic Republic	7769819	-10284	51446	0.7	246586346.81512	141320000	1.49419709212958	2123.97909415109	4.13019264438475	39.5552154401406	1.174
LBN	Lebanon	5805962	-17267	1422583	24.5				4473.27134441128	-7.07989192861814	90.703695784554	
LBR	Liberia	5612817	-7779	72423	1.3	1016836333.51	150809859.05	21.2758383451019	851.497723870206	4.02185464964835	55.5387986654968	2.914
LBY	Libya	7381023	3448	897751	12.2				6569.16408678648	1.89995052025442	87.8854066107749	19.085
LCA	Saint Lucia	179744	-7	8079	4.5	60644329.9999999	15740166.6666666	2.32786492557471	14493.658470648	4.76890217855616	29.0973354237452	10.199
LIE	Liechtenstein	40450	206	27669	69.4				220167.225473557		14.657584904886	
LKA	Sri Lanka	21916000	-27245	40698	0.2	6721617581.91647	166050273.61	6.74752055316036	4545.36006870612	4.99241614398109	20.2996997058686	4.239
LSO	Lesotho	2337423	-5107	15039	0.6	475818824.072287	3041602.82220346	19.8980594957291	1023.04227681523	5.22503380336101	43.6780334209246	16.34
LTU	Lithuania	2888278	2617	175194	6.1	1051216714.88188	676057345.404412	1.22943659955199	29603.7772588256	3.03019543767596	68.8285833315315	6.851
LUX	Luxembourg	677012	5677	344309	51.2	2515316186.42143	18743792749.8269	2.69652678062216	137781.681659123	0.358614003982225	94.8438702866393	6.4
LVA	Latvia	1866124	-2225	220471	11.8	1338010413.67246	576778154.58154	3.04084464209023	23578.9663562625	-0.0370556648288982	68.4839492628509	6.9
MAC	Macao	687000	1620	426862	59.3	135638996.904345	2453364868.01716	0.274199540982429	72004.7437020733	7.84960207010525	100	2.262
MAF	Saint Martin (French part)	26129	-1424		0						100	
MAR	Morocco	38081173	-46802	111069	0.3	12509031110.6267	186341861.618843	7.78840277046277	4153.1943359375	3.79336515978963	62.7998124018197	9.103
MCO	Monaco	38631	110	27106	70.2				288001.574856495	8.51053758860212	100	
MDA	Moldova, Republic of	2402306	-27088	188207	6.2	1917794095.03	512335316.64	10.5333702582967	7578.90216348853	0.270670455512573	43.516471862793	1.427
MDG	Madagascar	31964956	-1795	38625	0.1	406259556.072137	86161330.7510869	2.30923332864651	550.37875528856	4.32283728087992	32.4339893339844	3.051
MDV	Maldives	527799	-2421	75099	14.2	5652306.73033269	622562741.283354	0.0800427681119482	13379.3513577224	3.49440422654285	41.9982152717385	4.278
MEX	Mexico	130861007	-104581	1726089	1.3	67637913797	1308403827	3.69507286315508	13988.0423745241	1.35057631384696	79.7538805976118	2.678
MHL	Marshall Islands	37548	-1765	3309	8.8	66908359.5765508	15885159.01959	23.476617395281	7590.28443592202	3.30188679245282	78.7325660244112	
MKD	North Macedonia	1824359	-5728	150902	8.3	458211807.311264	24147739.2034666	2.70304623061488	9291.8566035502	2.99373536567732	62.5645376928533	12.265
MLI	Mali	24478595	-46880	545323	2.2	1068935477.1213	266086008.477669	3.99433597388338	1093.2523323649	5.01653579205785	31.6075621182225	2.924
MLT	Malta	568847	6323	199466	37	15664054.0122657	226413906.645386	0.0625493512547331	44023.6341078148	6.21275996991034	95.6546264490509	3.1
MMR	Myanmar	54500091	-37979	79052	0.1				1359.05001560107	-0.97204641363362	30.4499084074136	2.887
MNE	Montenegro	623525	-1686	92237	14.4	855194696.701429	196265022.065324	10.3355652800086	13270.1824401005	3.16409886329913	65.5422314706266	13.206
MNG	Mongolia	3524788	83	22589	0.6	527686176.930018	187474356.441073	2.217677569671	6750.6301157724	5.12204539122661	70.9566040039062	5.158
MNP	Northern Mariana Islands	44278	-1097	22000	49.7						92.0747260922394	
MOZ	Mozambique	34631766	-38940	353143	1	266914841.670451	196407527.531777	1.17313632356755	656.976148587772	2.14892499135355	36.4332337447237	6.668
MRT	Mauritania	5169395	-2185	195937	3.8	94540780.7871774	69298165.4631699	0.869003936095877	2104.54260769051	6.3076021190402	60.6068586411829	10.257
MSR	Montserrat											
MTQ	Martinique											
MUS	Mauritius	1245779	-2787	29142	2.3	286874588.901737	1122177192.62217	1.92042789803528	11990.9355434317	4.94844235250574	39.0162147027917	5.548
MWI	Malawi	21655286	-1507	186719	0.9	186770846.876819	198332605.249944	1.65109016161798	522.365366146003	1.6734340852915	17.268503531213	5.051
MYS	Malaysia	35557673	174770	3806514	10.7	1605279752.31516	10842907209.0832	0.380193528996402	11874.4273684245	5.10545921024041	76.9170296648992	3.846
MYT	Mayotte											
NAM	Namibia	3030131	4211	116035	3.8	96495977.6043623	80920026.4169839	0.707386765887929	4501.84849548225	3.77851723267591	50.4088030252155	19.157
NCL	New Caledonia	292639	455	76738	26.2				29213.1923192946	-13.4999999989747	67.9514695585577	10.991
NER	Niger	27032412	-4041	449236	1.7	650387380.845593	466152984.305383	3.29647457556865	729.856664168989	8.32327058280728	18.0497398450803	0.376
NFK	Norfolk Island											
NGA	Nigeria	232679478	-35202	1403281	0.6	22126757545.065	92301297.5868966	8.77134410191558	1084.16041805058	4.07106650147703	62.9755675573659	3.045
NIC	Nicaragua	6916140	-8189	43757	0.6	5245600000	145700000	26.632397170907	2847.87639497305	3.58094495324541	59.2628402709961	4.98
NIU	Niue											
NLD	Netherlands, Kingdom of the	17993485	121628	2956518	16.2	4719400104.5275	18125742438.5825	0.388768368267583	67465.3208126875	1.07383137319854	95.6396517079336	3.7
NOR	Norway	5572279	44356	1012404	18.2	947019157.964509	5701801444.84696	0.189068677853789	89888.9535204758	1.42372134524737	83.3293737928469	4
NPL	Nepal	29651054	-401282	470719	1.6	11254463372.2778	81687530.7216342	25.9924855623944	1460.28237984149	3.67787459697703	66.772343163029	10.5
NRU	Nauru	11947	-121	2548	21.3	2235115.34160441	26180447.6958425	1.33174632933075	14048.163961344	1.44927536231899	100	
NZL	New Zealand	5290000	18766	1467989	28.2		1169619979.51191		49432.3626396797	-0.868722371893952	83.9370658833132	4.724
